...1,list_ID,common_name,scientific_name,date,time,count,duration,location,latitude,longitude,count_tot,month,year
306,S21177034,Mallard,Anas platyrhynchos,2015-01-03,14:00:00,4,90,US-IL,39.924334,-91.4148653,11,1,2015
307,S22598375,Mallard,Anas platyrhynchos,2015-03-30,16:30:00,4,30,US-VT,43.7829965,-73.3154315,81,3,2015
308,S22635608,Mallard,Anas platyrhynchos,2015-04-01,16:30:00,6,20,US-VT,43.7829965,-73.3154315,16,4,2015
309,S100219404,Mallard,Anas platyrhynchos,2022-01-06,07:51:00,3,42,US-AZ,33.42175,-112.0733,34,1,2022
310,S1612893,Mallard,Anas platyrhynchos,2004-02-22,13:00:00,42,60,US-CA,38.298008,-119.226204,224,2,2004
311,S79023070,Mallard,Anas platyrhynchos,2021-01-04,13:24:00,3,273,US-OK,36.8630914,-96.5667034,69,1,2021
312,S54632771,Mallard,Anas platyrhynchos,2019-04-06,11:20:00,1,122,US-OK,36.2081998,-96.0600758,40,4,2019
313,S77745729,Mallard,Anas platyrhynchos,2020-12-20,11:59:00,8,72,US-OK,36.2081998,-96.0600758,57,12,2020
314,S80524373,Mallard,Anas platyrhynchos,2021-02-06,10:33:00,7,93,US-OK,36.2081998,-96.0600758,58,2,2021
315,S103266888,Mallard,Anas platyrhynchos,2022-02-20,14:05:00,6,65,US-OK,36.2081998,-96.0600758,29,2,2022
316,S56366335,Mallard,Anas platyrhynchos,2019-05-16,15:09:00,1,80,US-MO,38.70534,-90.74048,46,5,2019
317,S20964481,Mallard,Anas platyrhynchos,2014-12-20,09:30:00,25,150,US-MO,38.8719313,-90.1843917,469,12,2014
318,S40744474,Mallard,Anas platyrhynchos,2017-11-26,08:49:00,42,24,US-MO,38.8719313,-90.1843917,223,11,2017
319,S41155853,Mallard,Anas platyrhynchos,2017-12-17,12:40:00,6,106,US-MO,38.6228053,-90.344224,108,12,2017
320,S21519811,Mallard,Anas platyrhynchos,2015-01-24,12:30:00,8,60,US-MO,38.5240964,-90.2668691,37,1,2015
321,S17855769,Mallard,Anas platyrhynchos,2014-04-12,08:45:00,1,120,US-MO,38.690995,-90.2349186,200,4,2014
322,S16771971,Mallard,Anas platyrhynchos,2014-02-02,16:00:00,12,30,US-MO,38.5615895,-90.2653885,193,2,2014
323,S17365487,Mallard,Anas platyrhynchos,2014-03-08,09:10:00,30,20,US-MO,38.614255,-90.2916527,84,3,2014
324,S16536879,Mallard,Anas platyrhynchos,2014-01-27,14:30:00,103,45,US-MO,38.6389068,-90.2853806,275,1,2014
325,S17223714,Mallard,Anas platyrhynchos,2014-02-27,08:40:00,43,45,US-MO,38.6389068,-90.2853806,237,2,2014
326,S17294044,Mallard,Anas platyrhynchos,2014-03-04,08:15:00,6,45,US-MO,38.6389068,-90.2853806,92,3,2014
327,S17324171,Mallard,Anas platyrhynchos,2014-03-05,08:20:00,49,50,US-MO,38.6389068,-90.2853806,167,3,2014
328,S17334391,Mallard,Anas platyrhynchos,2014-03-06,08:20:00,47,55,US-MO,38.6389068,-90.2853806,214,3,2014
329,S17345055,Mallard,Anas platyrhynchos,2014-03-07,08:20:00,36,55,US-MO,38.6389068,-90.2853806,276,3,2014
330,S17377851,Mallard,Anas platyrhynchos,2014-03-09,15:45:00,25,80,US-MO,38.6389068,-90.2853806,118,3,2014
331,S17410868,Mallard,Anas platyrhynchos,2014-03-12,08:20:00,8,45,US-MO,38.6389068,-90.2853806,257,3,2014
332,S17437862,Mallard,Anas platyrhynchos,2014-03-14,08:00:00,19,60,US-MO,38.6389068,-90.2853806,181,3,2014
333,S17543272,Mallard,Anas platyrhynchos,2014-03-20,09:20:00,2,80,US-MO,38.6389068,-90.2853806,102,3,2014
334,S17697161,Mallard,Anas platyrhynchos,2014-04-01,13:00:00,4,0,US-MO,38.6389068,-90.2853806,7,4,2014
335,S17701725,Mallard,Anas platyrhynchos,2014-04-01,18:30:00,6,25,US-MO,38.6389068,-90.2853806,35,4,2014
336,S17716042,Mallard,Anas platyrhynchos,2014-04-02,16:00:00,7,40,US-MO,38.6389068,-90.2853806,134,4,2014
337,S17760108,Mallard,Anas platyrhynchos,2014-04-05,18:00:00,9,30,US-MO,38.6389068,-90.2853806,145,4,2014
338,S17798169,Mallard,Anas platyrhynchos,2014-04-07,18:00:00,4,45,US-MO,38.6389068,-90.2853806,96,4,2014
339,S17841108,Mallard,Anas platyrhynchos,2014-04-11,09:30:00,3,60,US-MO,38.6389068,-90.2853806,103,4,2014
