...1,list_ID,common_name,scientific_name,date,time,count,duration,location,latitude,longitude,count_tot,month,year
14,S82037948,Snow Goose,Anser caerulescens,2021-02-20,17:15:00,26,4,US-OK,35.9664503,-95.4937384,696,2,2021
19,S82037948,Greater White-fronted Goose,Anser albifrons,2021-02-20,17:15:00,150,4,US-OK,35.9664503,-95.4937384,696,2,2021
22,S82037948,Cackling Goose,Branta hutchinsii,2021-02-20,17:15:00,40,4,US-OK,35.9664503,-95.4937384,696,2,2021
31,S111728537,Canada Goose,Branta canadensis,2022-05-30,08:08:00,12,302,US-OK,36.850766,-102.8821564,100,5,2022
32,S87540889,Canada Goose,Branta canadensis,2021-05-08,12:55:00,10,22,US-OK,34.7112086,-98.6755943,41,5,2021
37,S100948655,Canada Goose,Branta canadensis,2022-01-17,11:31:00,4,223,US-OK,35.6222331,-95.1711273,69,1,2022
38,S54632771,Canada Goose,Branta canadensis,2019-04-06,11:20:00,2,122,US-OK,36.2081998,-96.0600758,40,4,2019
39,S69480437,Canada Goose,Branta canadensis,2020-05-14,09:21:00,2,219,US-OK,36.2081998,-96.0600758,97,5,2020
40,S80524373,Canada Goose,Branta canadensis,2021-02-06,10:33:00,2,93,US-OK,36.2081998,-96.0600758,58,2,2021
41,S90831933,Canada Goose,Branta canadensis,2021-06-26,14:26:00,8,71,US-OK,36.2081998,-96.0600758,48,6,2021
42,S103266888,Canada Goose,Branta canadensis,2022-02-20,14:05:00,2,65,US-OK,36.2081998,-96.0600758,29,2,2022
132,S65338838,Canada Goose,Branta canadensis,2020-03-01,16:23:00,2,38,US-OK,36.152075,-95.9778614,49,3,2020
133,S65902721,Canada Goose,Branta canadensis,2020-03-17,11:41:00,2,55,US-OK,36.1043584,-95.982836699999993,86,3,2020
134,S107970844,Canada Goose,Branta canadensis,2022-04-24,17:14:00,2,77,US-OK,36.1255459,-95.9823976,105,4,2022
135,S109319353,Canada Goose,Branta canadensis,2022-05-08,09:23:00,15,17,US-OK,36.2349276,-95.9115887,56,5,2022
136,S88192658,Canada Goose,Branta canadensis,2021-05-15,12:31:00,15,46,US-OK,36.2222811,-95.9239566,37,5,2021
137,S64885073,Canada Goose,Branta canadensis,2020-02-20,15:59:00,12,93,US-OK,36.116064,-95.98525,200,2,2020
138,S99973704,Canada Goose,Branta canadensis,2022-01-02,16:08:00,32,25,US-OK,36.215678,-95.933325,582,1,2022
139,S68330982,Canada Goose,Branta canadensis,2020-05-03,10:37:00,2,154,US-OK,36.2213571,-95.9341192,140,5,2020
140,S54964350,Canada Goose,Branta canadensis,2019-04-14,17:06:00,6,99,US-OK,36.2235555,-95.9005058,62,4,2019
141,S51186467,Canada Goose,Branta canadensis,2019-01-01,15:57:00,5,75,US-OK,36.1189623,-95.9855793,79,1,2019
142,S65697899,Canada Goose,Branta canadensis,2020-03-11,18:58:00,36,47,US-OK,36.1166302,-95.9907184,281,3,2020
143,S66376442,Canada Goose,Branta canadensis,2020-03-29,13:51:00,2,30,US-OK,36.1431728,-96.2771857,59,3,2020
144,S64885104,Canada Goose,Branta canadensis,2020-02-22,09:33:00,2,45,US-OK,35.872406,-95.401213,153,2,2020
145,S64885094,Canada Goose,Branta canadensis,2020-02-22,11:10:00,10,8,US-OK,35.9384235,-95.2776295,707,2,2020
146,S64885085,Canada Goose,Branta canadensis,2020-02-22,11:32:00,9,113,US-OK,35.9322711,-95.2811987,331,2,2020
147,S82037948,Canada Goose,Branta canadensis,2021-02-20,17:15:00,200,4,US-OK,35.9664503,-95.4937384,696,2,2021
148,S64885085,Canada Goose (canadensis Group),Branta canadensis [canadensis Group],2020-02-22,11:32:00,1,113,US-OK,35.9322711,-95.2811987,331,2,2020
159,S67472318,Wood Duck,Aix sponsa,2020-04-18,17:42:00,1,22,US-OK,35.5411319,-95.9264485,35,4,2020
219,S67802002,Blue-winged Teal,Spatula discors,2020-04-25,14:13:00,16,97,US-OK,36.7968283,-98.1921574,75,4,2020
220,S67802026,Blue-winged Teal,Spatula discors,2020-04-25,11:48:00,5,140,US-OK,36.783717,-98.18573,64,4,2020
222,S111728537,Blue-winged Teal,Spatula discors,2022-05-30,08:08:00,1,302,US-OK,36.850766,-102.8821564,100,5,2022
223,S85318603,Blue-winged Teal,Spatula discors,2021-04-11,09:50:00,2,74,US-OK,35.9559819,-96.3171265,42,4,2021
226,S67472318,Blue-winged Teal,Spatula discors,2020-04-18,17:42:00,4,22,US-OK,35.5411319,-95.9264485,35,4,2020
227,S67045327,Blue-winged Teal,Spatula discors,2020-04-11,15:17:00,28,6,US-OK,36.8402755,-96.4558801,36,4,2020
228,S55212997,Blue-winged Teal,Spatula discors,2019-04-21,07:46:00,1,52,US-OK,36.9177299,-96.6173317,88,4,2019
248,S88201182,Blue-winged Teal,Spatula discors,2021-05-15,13:20:00,12,72,US-OK,36.2222811,-95.9239566,33,5,2021
249,S74645100,Blue-winged Teal,Spatula discors,2020-10-10,11:36:00,60,7,US-OK,36.215678,-95.933325,219,10,2020
250,S68330982,Blue-winged Teal,Spatula discors,2020-05-03,10:37:00,8,154,US-OK,36.2213571,-95.9341192,140,5,2020
251,S64885104,Blue-winged Teal,Spatula discors,2020-02-22,09:33:00,2,45,US-OK,35.872406,-95.401213,153,2,2020
254,S55212997,Northern Shoveler,Spatula clypeata,2019-04-21,07:46:00,4,52,US-OK,36.9177299,-96.6173317,88,4,2019
255,S85336951,Northern Shoveler,Spatula clypeata,2021-04-11,12:28:00,5,100,US-OK,35.9549428,-96.7256498,69,4,2021
259,S88201182,Northern Shoveler,Spatula clypeata,2021-05-15,13:20:00,8,72,US-OK,36.2222811,-95.9239566,33,5,2021
260,S99973704,Northern Shoveler,Spatula clypeata,2022-01-02,16:08:00,25,25,US-OK,36.215678,-95.933325,582,1,2022
261,S64885077,Northern Shoveler,Spatula clypeata,2020-02-22,14:52:00,6,56,US-OK,35.813121,-95.405804,658,2,2020
262,S64885104,Northern Shoveler,Spatula clypeata,2020-02-22,09:33:00,10,45,US-OK,35.872406,-95.401213,153,2,2020
263,S64885085,Northern Shoveler,Spatula clypeata,2020-02-22,11:32:00,12,113,US-OK,35.9322711,-95.2811987,331,2,2020
264,S69480260,Northern Shoveler,Spatula clypeata,2020-05-10,14:22:00,12,89,US-OK,36.9709679,-95.9504402,66,5,2020
268,S79023070,Gadwall,Mareca strepera,2021-01-04,13:24:00,3,273,US-OK,36.8630914,-96.5667034,69,1,2021
291,S64885073,Gadwall,Mareca strepera,2020-02-20,15:59:00,24,93,US-OK,36.116064,-95.98525,200,2,2020
292,S74645100,Gadwall,Mareca strepera,2020-10-10,11:36:00,30,7,US-OK,36.215678,-95.933325,219,10,2020
293,S99973704,Gadwall,Mareca strepera,2022-01-02,16:08:00,6,25,US-OK,36.215678,-95.933325,582,1,2022
294,S101303345,Gadwall,Mareca strepera,2022-01-23,13:31:00,12,91,US-OK,36.1043853,-95.9839742,113,1,2022
295,S65697899,Gadwall,Mareca strepera,2020-03-11,18:58:00,4,47,US-OK,36.1166302,-95.9907184,281,3,2020
296,S64885077,Gadwall,Mareca strepera,2020-02-22,14:52:00,4,56,US-OK,35.813121,-95.405804,658,2,2020
297,S82037948,Gadwall,Mareca strepera,2021-02-20,17:15:00,15,4,US-OK,35.9664503,-95.4937384,696,2,2021
302,S85336951,American Wigeon,Mareca americana,2021-04-11,12:28:00,1,100,US-OK,35.9549428,-96.7256498,69,4,2021
305,S99973704,American Wigeon,Mareca americana,2022-01-02,16:08:00,4,25,US-OK,36.215678,-95.933325,582,1,2022
311,S79023070,Mallard,Anas platyrhynchos,2021-01-04,13:24:00,3,273,US-OK,36.8630914,-96.5667034,69,1,2021
312,S54632771,Mallard,Anas platyrhynchos,2019-04-06,11:20:00,1,122,US-OK,36.2081998,-96.0600758,40,4,2019
313,S77745729,Mallard,Anas platyrhynchos,2020-12-20,11:59:00,8,72,US-OK,36.2081998,-96.0600758,57,12,2020
314,S80524373,Mallard,Anas platyrhynchos,2021-02-06,10:33:00,7,93,US-OK,36.2081998,-96.0600758,58,2,2021
315,S103266888,Mallard,Anas platyrhynchos,2022-02-20,14:05:00,6,65,US-OK,36.2081998,-96.0600758,29,2,2022
429,S65566629,Mallard,Anas platyrhynchos,2020-03-08,10:28:00,2,24,US-OK,36.152075,-95.9778614,35,3,2020
430,S65902721,Mallard,Anas platyrhynchos,2020-03-17,11:41:00,2,55,US-OK,36.1043584,-95.982836699999993,86,3,2020
