Collection Date,Locale,Grower,Sample Type,Acreage ,~Observed Q,Collected Q,Sample(s),Sample ID,,Sample Code,,Virus Infection ,Ilumina Sequencing,Comments,TRNA,TDNA,PCR Screening,PMMoV,BCTV,CMV,AMV,TYLCV,PYDV,BWYV,PepYDV,Begomovirus,MCDV,Cap. Actin,BPEV,Pepper Cryptic,BCRSV
8/5/2021,oaks,mike,pepper_leaf,4,50-60,6,1,CH1,,F1,,,,,1,0,,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/5/2021,oaks,mike,pepper_leaf,4,50-60,6,2,CH2,,F2,,,,,1,0,,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/5/2021,oaks,mike,pepper_leaf,4,50-60,6,3,CH3,,F3,,,,,1,0,,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/5/2021,oaks,mike,pepper_leaf,4,50-60,6,4,CH4,,F4,,,,,1,0,,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/5/2021,oaks,mike,pepper_leaf,4,50-60,6,5,CH5,,F5,,,,,1,0, ,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/5/2021,oaks,mike,pepper_leaf,4,50-60,6,6,CH6,,F6,,,,,1,0,,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,PMMoV,BCTV,CMV,AMV,TYLCV,PYDV,BWYV,PepYDV,Begomovirus,MCDV,Cap. Actin,BPEV,Pepper Cryptic,BCRSV
8/17/2021,Layne,jim_shiply,pepper_leaf,N/A,5+,3,7,AK1,,F7,,,,,1,0,,0,0,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/17/2021,Layne,jim_shiply,pepper_leaf,N/A,5+,3,8,AK2,,F8,,,,,1,0,,0,0,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/17/2021,Layne,jim_shiply,pepper_leaf,N/A,5+,3,9,AK3,,F9,,,,,1,0,,0,0,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,PMMoV,BCTV,CMV,AMV,TYLCV,PYDV,BWYV,PepYDV,Begomovirus,MCDV,Cap. Actin,BPEV,Pepper Cryptic,BCRSV
