...1,list_ID,common_name,scientific_name,date,time,count,duration,location,latitude,longitude,count_tot,month,year
219,S67802002,Blue-winged Teal,Spatula discors,2020-04-25,14:13:00,16,97,US-OK,36.7968283,-98.1921574,75,4,2020
220,S67802026,Blue-winged Teal,Spatula discors,2020-04-25,11:48:00,5,140,US-OK,36.783717,-98.18573,64,4,2020
221,S36840514,Blue-winged Teal,Spatula discors,2017-05-13,10:40:00,20,275,US-MO,38.8636,-92.4504,515,5,2017
222,S111728537,Blue-winged Teal,Spatula discors,2022-05-30,08:08:00,1,302,US-OK,36.850766,-102.8821564,100,5,2022
223,S85318603,Blue-winged Teal,Spatula discors,2021-04-11,09:50:00,2,74,US-OK,35.9559819,-96.3171265,42,4,2021
224,S99541601,Blue-winged Teal,Spatula discors,2021-12-27,16:26:00,4,97,US-FL,27.8035911,-80.426723,100,12,2021
225,S99654122,Blue-winged Teal,Spatula discors,2021-12-28,09:19:00,6,115,US-FL,27.8035911,-80.426723,90,12,2021
226,S67472318,Blue-winged Teal,Spatula discors,2020-04-18,17:42:00,4,22,US-OK,35.5411319,-95.9264485,35,4,2020
227,S67045327,Blue-winged Teal,Spatula discors,2020-04-11,15:17:00,28,6,US-OK,36.8402755,-96.4558801,36,4,2020
228,S55212997,Blue-winged Teal,Spatula discors,2019-04-21,07:46:00,1,52,US-OK,36.9177299,-96.6173317,88,4,2019
229,S17701725,Blue-winged Teal,Spatula discors,2014-04-01,18:30:00,2,25,US-MO,38.6389068,-90.2853806,35,4,2014
230,S17891506,Blue-winged Teal,Spatula discors,2014-04-14,09:00:00,2,90,US-MO,38.6389068,-90.2853806,203,4,2014
231,S17931688,Blue-winged Teal,Spatula discors,2014-04-17,08:00:00,5,120,US-MO,38.6389068,-90.2853806,307,4,2014
232,S18044118,Blue-winged Teal,Spatula discors,2014-04-23,12:00:00,4,45,US-MO,38.6389068,-90.2853806,62,4,2014
233,S18178852,Blue-winged Teal,Spatula discors,2014-05-02,08:15:00,2,60,US-MO,38.6389068,-90.2853806,115,5,2014
234,S19854966,Blue-winged Teal,Spatula discors,2014-09-16,18:30:00,6,45,US-MO,38.6389068,-90.2853806,58,9,2014
235,S20016034,Blue-winged Teal,Spatula discors,2014-10-03,08:45:00,50,45,US-MO,38.6389068,-90.2853806,189,10,2014
236,S20047706,Blue-winged Teal,Spatula discors,2014-10-06,08:45:00,6,60,US-MO,38.6389068,-90.2853806,105,10,2014
237,S22776681,Blue-winged Teal,Spatula discors,2015-04-09,18:20:00,3,25,US-MO,38.6389068,-90.2853806,42,4,2015
238,S23140528,Blue-winged Teal,Spatula discors,2015-04-30,07:00:00,2,105,US-MO,38.6389068,-90.2853806,150,4,2015
239,S35533959,Blue-winged Teal,Spatula discors,2017-03-30,07:05:00,7,100,US-MO,38.6389068,-90.2853806,283,3,2017
240,S35594469,Blue-winged Teal,Spatula discors,2017-03-31,17:47:00,5,80,US-MO,38.6389068,-90.2853806,84,3,2017
241,S35698031,Blue-winged Teal,Spatula discors,2017-04-04,07:00:00,12,127,US-MO,38.6389068,-90.2853806,369,4,2017
242,S35861224,Blue-winged Teal,Spatula discors,2017-04-10,18:06:00,2,68,US-MO,38.6389068,-90.2853806,28,4,2017
243,S35918417,Blue-winged Teal,Spatula discors,2017-04-13,06:59:00,6,109,US-MO,38.6389068,-90.2853806,247,4,2017
244,S36118134,Blue-winged Teal,Spatula discors,2017-04-20,07:00:00,3,98,US-MO,38.6389068,-90.2853806,237,4,2017
245,S36198905,Blue-winged Teal,Spatula discors,2017-04-23,08:13:00,2,173,US-MO,38.6389068,-90.2853806,137,4,2017
246,S22828782,Blue-winged Teal,Spatula discors,2015-04-12,11:00:00,1,150,US-MO,38.6129807,-90.2593803,112,4,2015
247,S18038813,Blue-winged Teal,Spatula discors,2014-04-20,07:30:00,2,180,US-MO,37.0223596,-90.0990486,103,4,2014
248,S88201182,Blue-winged Teal,Spatula discors,2021-05-15,13:20:00,12,72,US-OK,36.2222811,-95.9239566,33,5,2021
249,S74645100,Blue-winged Teal,Spatula discors,2020-10-10,11:36:00,60,7,US-OK,36.215678,-95.933325,219,10,2020
250,S68330982,Blue-winged Teal,Spatula discors,2020-05-03,10:37:00,8,154,US-OK,36.2213571,-95.9341192,140,5,2020
251,S64885104,Blue-winged Teal,Spatula discors,2020-02-22,09:33:00,2,45,US-OK,35.872406,-95.401213,153,2,2020
